ProductID,ProductBrand,ProductName,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,Quantity2,Price2,Quantity3,Price3,Quantity4,Price4,Quantity5,Price5,QuantityAvailable
606523ae11427c000137e6ad,Oso Verde,Oso Verde Farms Jah Goo,Electric Lettuce - Sellwood,0,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,25
6065edb6a1ee1c000170408d,,EFC Bananosphere,Truly Pure,1,Flower,,1g,8,1/8oz,20,1/4oz,40,1/2oz,80,1oz,145,25
60675ea7d34bf1000110d0c2,Phresh,Ghost Train Haze,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
606f96897a8d140001687b12,Enterprise Farms,Sweet Melissa,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
6074e4748cbbf90001bb113d,High Winds Farm,Duct Tape,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
607651e8817837000171c66c,Pruf Cultivar,Pruf Cultivar AC/DC x TH1,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
6078e7ec371677000158a869,Indo Supply Co.,Fire Engine - Silver Tier - Indo Supply Co - $135 Oz Deal,Natural RXemedies,0,Flower,,1g,8,1/8oz,26,1/4oz,45,1/2oz,85,,,11
6079db7ec2fef80001b17d82,Grown Rogue Gardens,Selehs Sunset,Nectar - Sandy,0,Flower,,1g,8,,,,,,,,,7
607a1052da28d60001fef849,Celedon,CEL I Durban Margy (H),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
607a222ce83ad70001ff72b6,Pilot Farm,Mountain Girl Gold,Electric Lettuce - Sellwood,0,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,25
607a37c18777cc0001d51fac,Applegate Valley Oregon,Watermelon Zkittles,Nectar - Sandy,0,Flower,,1g,8,,,,,,,,,6
607b7016cdca4b0001901d7b,Northwest Artisan Coalition,Albert Walker,Nectar - Terwilliger,0,Flower,,1g,8,,,,,,,,,1
607ca407f26dc800a750721e,Pilot Farms,Mountain Girl Gold,Electric Lettuce - Alberta Arts District,1,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,9995
607dd19b397f660001d1510c,High Winds Farm,High Winds Farm | Duct Tape,Attis Trading Co (Barbur),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
607dd19b397f660001d15110,Three Finger Farms,ICE,Attis Trading Co (Barbur),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
6080e1a4de30f900013abf49,Phresh,French Bread,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
608329385d39900001066a5a,,TO Zeaside Taffy,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
6094b90221fde60001bf3414,Green Source Gardens,Green Source Gardens Koffee,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
60957f9fe840ee0001ef604b,Sunshine,Slurricane,Nectar - Sandy,0,Flower,,1g,8,1/8oz,25,,,,,,,1
609593262c9ae3000176d487,De Terra Naturals,Banana Jamma,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
609c02f048883000015b333d,Demeter,Demeter Gardens - Wedding Cake,La Mota (Johnson Creek),0,Flower,,1g,8,1/8oz,24,1/4oz,45,,,,,6
609c2e69a3e3cf00018bbedf,,PCM Mendo Breath,Truly Pure,1,Flower,,1g,8,1/8oz,20,1/4oz,40,1/2oz,80,1oz,140,25
609c4c1edb74bf0001bdfe23,Fox Barry Farms,GD I Sour Diesel (S),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
609eb7c030d5dd0001b6b7a5,Northwest Artisan Coalition,Cherry Bomb,Nectar - Sandy,0,Flower,,1g,8,,,,,,,,,1
60a02069737ffe0001aa0c90,,TF GG#4 YS,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60a054b608f85500012a0100,Northwest Artisan Coalition,Cherry Bomb,Nectar - Terwilliger,0,Flower,,1g,8,1/8oz,25,,,,,,,8
60a155e58b36fe0001e53b8b,Northwest Artisan Coalition,Jack The Ripper,Nectar - Sandy,0,Flower,,1g,8,,,,,,,,,2
60a1802c9fd23700018ee905,Northwest Artisan Coalition,Cherry Bomb,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,1/8oz,25,,,,,,,1
60a1a358f75ed10001da11fd,laird family farms,Laird Family Farm-Stimulus Package,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,1/4oz,45,,,,,5
60a56ccadd4000000116f7fe,7 Points Oregon,Future #1,Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
60a6a3e8419a9700017ad139,Alter Farms,Alter Farms Texas Butter,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
60a6c427ceb710000100ef50,Oregon Roots,OR I Gorrilla Glue #4 (SH),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
60a70a4da3910d000120de98,Private Reserve,Royal Cream - Private Reserve,Tetra Cannabis (Belmont),1,Flower,,1g,8,2g,16,1/8oz,27,1/4oz,54,1/2oz,100,25
60aec51f156c9100014182a2,Trichome Farms,TRICHOME FARMS | SLURRI-CRASHER,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60aeef76f7ca9f00015f8a89,Trichome Farms,TRICHOME FARMS | WOOK FOOT,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60afbf4072bb6e0001703ffc,,PR Royal Cream,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60afbf4072bb6e0001703ffd,,BZS Purple Punch,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60b008f98eabc80001daaed1,Highland Provisions,HP I Chokah Cookies (H),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
60b29a286507c00001d67c46,Terra Australis,Brisbane Kush  - Terra  Australis,Tetra Cannabis (Belmont),1,Flower,,1g,8,2g,16,1/8oz,27,1/4oz,54,1/2oz,100,25
60b40494818bb800019a55cc,Sunshine,Slurricane,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,1/8oz,25,,,,,,,16
60b690d1ecc0d00001667f83,Orekron,Jack & Cheese,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60b83ab533e2df000115da33,Bull Moon,Runtz - Silver Tier - $145 Oz Deal - Bull Moon,Natural RXemedies,0,Flower,,1g,8,1/8oz,26,1/4oz,45,1/2oz,85,1oz,153,25
60b90b1da254a00001e8bbc1,Cannananda,Strawberry Guava,Attis Trading Co (Barbur),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60b90b1da254a00001e8bbc2,De Terra Naturals,Banana Jamma,Attis Trading Co (Barbur),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60b940081ebb6b0001d8aa2c,Pacific Grove,Pacific Grove-Tally Mon #13,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,85,1oz,140,25
60b940081ebb6b0001d8aa2d,Pacific Grove,Pacific Grove-Royal Addiction,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,1/4oz,45,,,,,3
60b982fb4ac69e000194be58,Virgin Cannabis,Purple Drank Breath x Sundae Driver - Virgin Cannabis,Tetra Cannabis (Belmont),1,Flower,,1g,8,2g,16,1/8oz,27,1/4oz,54,1/2oz,100,25
60bfd90b6d5d9400012ced12,Trichome Farms,TRICHOME FARMS | WEDDING CAKE,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60c1038b93344a00018e64d3,,OG Alient ET,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60c1610de5a25300011d6b2c,Chalice Farms,Chalice Farms-Carl Sagen,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,,,,,,,3
60c393557795630001255d09,,ARF Kosher Kush,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60c393557795630001255d0a,,LCS Chocolate Hashberry,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60c3b587dc02d2000126f3d3,Northwest Artisan Coalition,Zamaldelica,Nectar - Sandy,0,Flower,,1g,8,,,,,,,,,1
60c4f7ccb10dd50001399768,Pacific Grove,Pacific Grove-Tally Mon #13,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,,,,,,,10
60c676edf485e6000188524a,Northwest Artisan Coalition,Zamaldelica,Nectar - Terwilliger,0,Flower,,1g,8,1/8oz,25,,,,,,,4
60c688bfd8a0820001500964,Northwest Artisan Coalition,Zamaldelica,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,1/8oz,25,,,,,,,9
60c906f558ab5b0001aa0741,M&S,Blue Dream,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60c956c3e843d600016f417f,Chalice Farms,Folium Farms-Star Dawg Breath,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,,,,,,,3
60c956c3e843d600016f4180,Chalice Farms,Folium Farms-Star Dawg Breath,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,85,1oz,140,25
60ca218b3a005b000177f6a6,,Davefu Zcandy Zcrush YS,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60ca6d832c8a640001c92f10,East Fork Cultivars,East Fork Cultivars | Sour Remedy,Bridge City Collective - SE Portland,0,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,85,1oz,140,25
60ca78cb3e7e830001885749,Pacific Frost Farms,PFF | Chocolatina (I),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
60cd2133ab13a10001d5e69c,Pruf Cultivar,Five Stars - Silver Tier - $140 Oz Deal - Pruf Cultivar,Natural RXemedies,0,Flower,,1g,8,1/8oz,26,1/4oz,45,1/2oz,85,1oz,153,25
60cd23afa58c360001c90b6f,Trichome Farms,TRICHOME FARMS | SOUR AMNESIA,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60cd23afa58c360001c90b70,Trichome Farms,TRICHOME FARMS | BLACK CHERRY PUNCH,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60cd23afa58c360001c90b71,Trichome Farms,TRICHOME FARMS | DUNDEE SUNSET,Oregrown (Portland),1,Flower,,1g,8,1/8oz,24,1/4oz,48,1/2oz,88,1oz,160,25
60ce17c8ed64b6000181b86c,,PCM Bruce Banner,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60d211ac5959bc7bd09c99e8,Pilot Farm,PI,Serra (Belmont St - Portland),1,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,400
60d368c6c39f190001eee021,Mentari,Mentari Green C,Electric Lettuce - Foster - Powell,0,Flower,,1g,8,3.5g,27,7g,50,14g,90,,,11
60d3726ef77f4f0001abe628,Sunshine,Animal Mints,Nectar - Sandy,0,Flower,,1g,8,1/8oz,25,,,,,,,11
60d381a1d56c9400015edbbe,TFF Inc.,Lemon Thai Kush,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60d393ef78dade000195a2d2,,Canna Blueberry Muffins,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60d39878f77f4f0001abe6fd,Up Stream Cannabis,USC I Golden Pineapple (SH),Top Hat Express,1,Flower,,1g,8,2g,16,1/8oz,26.67,1/4oz,43.33,1/2oz,83.33,25
60d62492c39f190001eee84f,Cannananda,Blueberry Muffin,Attis Trading Co (Barbur),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60d91298558c4c00011db268,Sunshine,Dosi,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,1/8oz,25,,,,,,,15
60dc9d7eaf3c6500011ebb61,Sunshine,Dogwalker OG,Nectar - Beaverton Hillsdale,0,Flower,,1g,8,1/8oz,25,,,,,,,14
60dca11310070c0001e90fa7,Sunshine,Dogwalker OG,Nectar - Terwilliger,0,Flower,,1g,8,1/8oz,25,,,,,,,14
60dcaf5a64cb330001855a96,Sunshine,Dogwalker OG,Nectar - Sandy,0,Flower,,1g,8,1/8oz,25,,,,,,,10
60dccb7a4517d40001213f8e,PILOT Cannabis & Concentrates,Pilot Farms Pi,Electric Lettuce - Weilder,0,Flower,,1g,8,3.5g,27,7g,50,14g,90,28g,170,25
60dcdc362e7f6400018d3625,,WB Guava Punch,Truly Pure,1,Flower,,1g,8,1/8oz,25,1/4oz,45,1/2oz,81,1oz,145,25
60de59c029f16000014a2b3f,PILOT Cannabis & Concentrates,Pilot Farms Jillybean,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
60de59c029f16000014a2b40,PILOT Cannabis & Concentrates,Pilot Farms Grapefruit Diesel,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
60de59c029f16000014a2b41,PILOT Cannabis & Concentrates,Pilot Farms Super Silver Haze,Farma,1,Flower,,1g,8,3.5g,27,7g,50,14g,89,28g,169,25
60e20b9aaa150f0001ec1e32,Happy Camp,Super Lemon Haze,Nectar - Sandy,0,Flower,,1g,8,1/8oz,25,,,,,,,15
60e356622173a20001c1e0a0,Cannananda,Blueberry Muffins,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60e604aa286a170001589674,7 Points Oregon,Future,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60e6080fc67721000112f0b0,Wisely Organics,SnowZee,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60e6080fc67721000112f0b1,Sow Canna,PB&J,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60e87846c78a0037a26d7f7a,Pilot Farm,Lambs In Space,Serra (Belmont St - Portland),1,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,400
60eb5ccac5588700013dc1be,Northwest Artisan Coalition,Northwest Artisan Coalition - Cherry Pie,Nectar - Sandy,0,Flower,,1g,8,1/8oz,25,,,,,,,3
60eb5dcbd6ec8b000120f552,Happy Camp,Happy Camp - Super Lemon Haze,Nectar - Terwilliger,0,Flower,,1g,8,1/8oz,25,,,,,,,15
60eb5dcbd6ec8b000120f553,Northwest Artisan Coalition,Northwest Artisan Coalition - Cherry Pie,Nectar - Terwilliger,0,Flower,,1g,8,1/8oz,25,,,,,,,3
60edce43cfa0c80001edb37b,G-Zero Organics,Bubba Kush,Attis Trading Co (Gladstone),0,Flower,,1g,8,1/8oz,25,1/4oz,50,1/2oz,95,1oz,180,25
60ef891bc7a84e0001d9b8b6,Creswell Organics,Creswell Organics-Grapefruit Crater,Bridge City Collective - N WIlliams,1,Flower,,1g,8,1/8oz,25,,,,,,,10
60f064b6f4a5e100db1c3071,Pilot Farm,Durban Diesel,Serra (Belmont St - Portland),1,Flower,,1g,8,1/8oz,27,1/4oz,50,1/2oz,90,1oz,170,200
60f0abb7479b4c0001654f76,PILOT Cannabis & Concentrates,Pilot Farms Sugarwolf,Electric Lettuce - Foster - Powell,0,Flower,,1g,8,3.5g,27,7g,50,14g,90,28g,170,25
60f0abb7479b4c0001654f77,PILOT Cannabis & Concentrates,Pilot Farms Pi,Electric Lettuce - Foster - Powell,0,Flower,,1g,8,3.5g,27,7g,50,14g,90,28g,170,25
603e6fd640d6f500035cbf72,Utokia Farms,Blue Coffin,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,15
603e6fd640d6f500035cbfc9,Midnight Fruit Company,Moonshiner,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
604a61c837fddf00018562a5,Green Dragon Gardens,Critical Mass,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
6089a8b29b805400015a946d,Wykanush,Golden Goat,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60b5547e3377d30001930b67,Virgin Leaf,Cake Mintz #1,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60be8732fcf9de00012b3f09,Cannasentials,Birds of Paradise,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60c7da973b5fbf000141cd19,Wykanush Ventures,Wedding Pie,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60cb878477d21b00017f0ea4,Virgin Cannabis,Pink Lemonade,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60cf75be5f52ec00017e2f78,NW Artisan,Sour Lemon Haze,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60dba00425e72c0001bf1222,Fox Hollow Flora,Nigerian Silver,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
60ec8d70fa0fff000147fb02,Cultivated Industries,Amnesia Haze,Urban Farmacy,1,Flower,,1g,8.25,2g,16.5,1/8oz,28,1/4oz,56,1/2oz,101.5,25
5d7e99244217df000315597f,Ananda Farms,Ananda | Golden Papaya,TJs on Powell,0,Flower,,1g,8.33,2g,16.67,1/8oz,25,1/4oz,45.83,1/2oz,83.33,25
5e0e8de895f78200039080ad,Ananda Farms,Ananda - Tally Mon,TJs on Powell,0,Flower,,1g,8.33,2g,16.67,1/8oz,25,1/4oz,45.83,1/2oz,83.33,25
5eac626bd07d810003348178,Ananda Farms,Ananda | GSC,TJs on Powell,0,Flower,,1g,8.33,2g,16.67,1/8oz,25,1/4oz,45.83,1/2oz,83.33,18
5f4810de441d85000331ebaa,Yerba Buena,Yerba Buena | Waiting Game,TJs on Powell,0,Flower,,1g,8.33,2g,16.67,1/8oz,25,1/4oz,45.83,1/2oz,83.33,25
5f4ac3881e2e3100032e515c,Ananda Farms,Ananda | Durban Poison,TJs on Powell,0,Flower,,1g,8.33,2g,16.67,1/8oz,25,1/4oz,45.83,1/2oz,83.33,25
5f7372273cc3570003b7b47b,Old Apple Farm,SECRET FORMULA - OLD APPLE,Homegrown Oregon (Beaverton),0,Flower,,1g,8.33,2g,16.67,1/8oz,26.67,1/4oz,50,1/2oz,91.67,24
5fab2341a71d1400039c8309,ANTHOS,MOBY DICK - ANTHOS 10,Homegrown Oregon (Beaverton),0,Flower,,1g,8.33,2g,16.67,1/8oz,26.67,1/4oz,50,1/2oz,91.67,25
